Task_ID,Order_ID,Relationship,Team_Name,Task_Type,Notes,Agent_ID,Distance(m),Total_Time_Taken(min),Task_Status,Ref_Images,Rating,Review,Latitude,Longitude,Tags,Promo_Applied,Custom_Template_ID,Task_Details_QTY,Task_Details_AMOUNT,Special_Instructions,Tip,Delivery_Charges,Discount,Subtotal,Payment_Type,Task_Category,Earning,Pricing
367786721,"YR-11255415,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.5119758,3.357909,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367786721,"YR-11255415,0",3.68E+29,Default Team,Delivery,,1233220,-,-,Assigned,-,0,-,6.5119758,3.357909,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,63650,CASH,-,-,-
367772497,"YR-11254482,0",3.68E+29,Default Team,Delivery,,1166840,0,0.32,Completed,-,0,-,6.5260021,3.3474892,,-,Order_Details,4,₦ 83400.00,-,-,-,-,-,-,-,-,-
367772497,"YR-11254482,0",3.68E+29,Default Team,Delivery,,1166840,0,0.32,Completed,-,0,-,6.5260021,3.3474892,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,83725,CASH,-,-,-
367626480,"YR-11246125,0",3.68E+29,Default Team,Delivery,,1132867,884,2.3,Completed,-,0,-,6.551107,3.399513,,-,Order_Details,10,₦ 208500.00,-,₦ 0.00,₦ 0.00,₦ 0.00,208500,CASH,-,-,-
367626179,"YR-11246115,0",3.68E+29,Default Team,Delivery,,1233213,15243,55.75,Completed,-,0,-,6.5263236,3.3842658,,-,Order_Details,2,₦ 41700.00,-,-,-,-,-,-,-,-,-
367626179,"YR-11246115,0",3.68E+29,Default Team,Delivery,,1233213,15243,55.75,Completed,-,0,-,6.5263236,3.3842658,,-,Order_Details,1,₦ 22700.00,-,₦ 0.00,₦ 0.00,₦ 0.00,64400,CASH,-,-,-
367618334,"YR-11245848,0",3.68E+29,Default Team,Delivery,,1233213,7130,113.75,Completed,-,0,-,6.6315101,3.3884346,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
367618334,"YR-11245848,0",3.68E+29,Default Team,Delivery,,1233213,7130,113.75,Completed,-,0,-,6.6315101,3.3884346,,-,Order_Details,3,₦ 975.00,-,₦ 0.00,₦ 0.00,₦ 0.00,21925,CASH,-,-,-
367617831,"YR-11245825,0",3.68E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,1,₦ 38000.00,-,-,-,-,-,-,-,-,-
367617831,"YR-11245825,0",3.68E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,10,₦ 5500.00,-,₦ 0.00,₦ 0.00,₦ 0.00,43500,CASH,-,-,-
367604030,"YR-11245352,0",3.68E+29,Default Team,Delivery,,1233220,23,7.85,Completed,-,0,-,6.5038596,3.3516214,,-,Order_Details,1,₦ 2100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,2100,CASH,-,-,-
367594833,"YR-11245022,0",3.68E+29,Default Team,Delivery,,1233220,0,6.17,Completed,-,0,-,6.5242,3.3680093,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367594833,"YR-11245022,0",3.68E+29,Default Team,Delivery,,1233220,0,6.17,Completed,-,0,-,6.5242,3.3680093,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,62875,CASH,-,-,-
367588166,"YR-11244782,0",3.68E+29,Default Team,Delivery,,1233213,20032,99.47,Completed,-,0,-,6.5570094,3.3648586,,-,Order_Details,1,₦ 22100.00,-,-,-,-,-,-,-,-,-
367588166,"YR-11244782,0",3.68E+29,Default Team,Delivery,,1233213,20032,99.47,Completed,-,0,-,6.5570094,3.3648586,,-,Order_Details,1,₦ 26050.00,-,-,-,-,-,-,-,-,-
367588166,"YR-11244782,0",3.68E+29,Default Team,Delivery,,1233213,20032,99.47,Completed,-,0,-,6.5570094,3.3648586,,-,Order_Details,1,₦ 4500.00,-,₦ 0.00,₦ 0.00,₦ 0.00,52650,Pay Later,-,-,-
367582359,"YR-11244552,0",3.68E+29,Default Team,Delivery,,1274881,1098,36.7,Completed,-,0,-,6.5143085,3.3591261,,-,Order_Details,4,₦ 83400.00,-,-,-,-,-,-,-,-,-
367582359,"YR-11244552,0",3.68E+29,Default Team,Delivery,,1274881,1098,36.7,Completed,-,0,-,6.5143085,3.3591261,,-,Order_Details,1,₦ 22700.00,-,₦ 0.00,₦ 0.00,₦ 200.00,105900,CASH,-,-,-
367579889,"YR-11244443,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.4561933,3.4455356,,-,Order_Details,1,₦ 38000.00,-,₦ 0.00,₦ 0.00,₦ 0.00,38000,CASH,-,-,-
367558560,"YR-11243643,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5143085,3.3591261,,-,Order_Details,4,₦ 83400.00,-,-,-,-,-,-,-,-,-
367558560,"YR-11243643,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5143085,3.3591261,,-,Order_Details,2,₦ 650.00,-,₦ 0.00,₦ 0.00,₦ 0.00,84050,CASH,-,-,-
367555001,"YR-11243541,0",3.68E+29,Default Team,Delivery,,1132867,0,3.78,Completed,-,0,-,6.5263236,3.3842658,,-,Order_Details,1,₦ 325.00,-,-,-,-,-,-,-,-,-
367555001,"YR-11243541,0",3.68E+29,Default Team,Delivery,,1132867,0,3.78,Completed,-,0,-,6.5263236,3.3842658,,-,Order_Details,2,₦ 41700.00,-,₦ 0.00,₦ 0.00,₦ 0.00,42025,CASH,-,-,-
367553373,"YR-11243476,0",3.68E+29,Default Team,Delivery,,1150142,-,0,Completed,-,0,-,6.482035,3.3799598,,-,Order_Details,10,₦ 209500.00,-,-,-,-,-,-,-,-,-
367553373,"YR-11243476,0",3.68E+29,Default Team,Delivery,,1150142,-,0,Completed,-,0,-,6.482035,3.3799598,,-,Order_Details,1,₦ 2750.00,-,₦ 0.00,₦ 0.00,₦ 1000.00,211250,CASH,-,-,-
367548549,"YR-11243306,0",3.68E+29,Default Team,Delivery,,1132867,236,25.47,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,4,₦ 83400.00,-,-,-,-,-,-,-,-,-
367548549,"YR-11243306,0",3.68E+29,Default Team,Delivery,,1132867,236,25.47,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 2750.00,-,₦ 0.00,₦ 0.00,₦ 500.00,85650,CASH,-,-,-
367547631,"YR-11243272,0",3.68E+29,Default Team,Delivery,,1132867,522,2.62,Completed,-,0,-,6.5428403,3.3849717,,-,Order_Details,6,₦ 125100.00,-,-,-,-,-,-,-,-,-
367547631,"YR-11243272,0",3.68E+29,Default Team,Delivery,,1132867,522,2.62,Completed,-,0,-,6.5428403,3.3849717,,-,Order_Details,1,₦ 2750.00,-,₦ 0.00,₦ 0.00,₦ 450.00,127400,CASH,-,-,-
367546013,"YR-11243218,0",3.68E+29,Default Team,Delivery,,1274881,161,0.58,Completed,-,0,-,6.5426898,3.3970024,,-,Order_Details,20,₦ 417000.00,-,-,-,-,-,-,-,-,-
367546013,"YR-11243218,0",3.68E+29,Default Team,Delivery,,1274881,161,0.58,Completed,-,0,-,6.5426898,3.3970024,,-,Order_Details,2,₦ 45400.00,-,₦ 0.00,₦ 0.00,₦ 1000.00,461400,CASH,-,-,-
367545860,"YR-11243207,0",3.68E+29,Default Team,Delivery,,1233220,39,7.22,Completed,-,0,-,6.5146077,3.3563132,,-,Order_Details,2,₦ 45400.00,-,-,-,-,-,-,-,-,-
367545860,"YR-11243207,0",3.68E+29,Default Team,Delivery,,1233220,39,7.22,Completed,-,0,-,6.5146077,3.3563132,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,45725,CASH,-,-,-
367542188,"YR-11243072,0",3.68E+29,Default Team,Delivery,,1166840,12572,106.6,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367542188,"YR-11243072,0",3.68E+29,Default Team,Delivery,,1166840,12572,106.6,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,62875,CASH,-,-,-
367540158,"YR-11243011,0",3.68E+29,Default Team,Delivery,,1166840,11427,79.72,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
367540158,"YR-11243011,0",3.68E+29,Default Team,Delivery,,1166840,11427,79.72,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,1,₦ 22700.00,-,₦ 0.00,₦ 0.00,₦ 0.00,43650,CASH,-,-,-
367536582,"YR-11242908,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5319601,3.3842551,,-,Order_Details,6,₦ 125700.00,-,-,-,-,-,-,-,-,-
367536582,"YR-11242908,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5319601,3.3842551,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367536582,"YR-11242908,0",3.68E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5319601,3.3842551,,-,Order_Details,1,₦ 5200.00,-,₦ 0.00,₦ 0.00,₦ 600.00,192850,CASH,-,-,-
367534199,"YR-11242845,0",3.68E+29,Default Team,Delivery,,1150142,-,0,Completed,-,0,-,6.5406872,3.3931368,,-,Order_Details,20,₦ 417000.00,-,-,-,-,-,-,-,-,-
367534199,"YR-11242845,0",3.68E+29,Default Team,Delivery,,1150142,-,0,Completed,-,0,-,6.5406872,3.3931368,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 1000.00,416325,CASH,-,-,-
367392919,"YR-11239168,0",3.67E+29,Default Team,Delivery,,1166840,10579,107.85,Completed,-,0,-,6.5319601,3.3842551,,-,Order_Details,4,₦ 83800.00,-,-,-,-,-,-,-,-,-
367392919,"YR-11239168,0",3.67E+29,Default Team,Delivery,,1166840,10579,107.85,Completed,-,0,-,6.5319601,3.3842551,,-,Order_Details,1,₦ 5200.00,-,₦ 0.00,₦ 0.00,₦ 600.00,88400,CASH,-,-,-
367391798,"YR-11239073,0",3.67E+29,Default Team,Delivery,,1233220,-,0,Failed,-,0,-,6.5242,3.3680093,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367391798,"YR-11239073,0",3.67E+29,Default Team,Delivery,,1233220,-,0,Failed,-,0,-,6.5242,3.3680093,,-,Order_Details,1,₦ 3300.00,-,₦ 0.00,₦ 0.00,₦ 0.00,65850,CASH,-,-,-
367380610,"YR-11238209,0",3.67E+29,Default Team,Delivery,,1233220,632,5.18,Completed,-,0,-,6.4819611,3.3479856,,-,Order_Details,2,₦ 2200.00,-,-,-,-,-,-,-,-,-
367380610,"YR-11238209,0",3.67E+29,Default Team,Delivery,,1233220,632,5.18,Completed,-,0,-,6.4819611,3.3479856,,-,Order_Details,1,₦ 18500.00,-,-,-,-,-,-,-,-,-
367380610,"YR-11238209,0",3.67E+29,Default Team,Delivery,,1233220,632,5.18,Completed,-,0,-,6.4819611,3.3479856,,-,Order_Details,4,₦ 83400.00,-,₦ 0.00,₦ 0.00,₦ 0.00,104100,CASH,-,-,-
367343913,"YR-11234830,0",3.67E+29,Default Team,Delivery,,-,-,0,Completed,-,0,-,6.534224,3.3454443,,-,Order_Details,60,₦ 1257000.00,-,₦ 0.00,₦ 0.00,₦ 5000.00,1252000,CASH,-,-,-
367157322,"YR-11226868,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,1,₦ 4500.00,-,-,-,-,-,-,-,-,-
367157322,"YR-11226868,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,10,₦ 11000.00,-,₦ 0.00,₦ 0.00,₦ 0.00,15500,CASH,-,-,-
367156441,"YR-11226850,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,2,₦ 13200.00,-,-,-,-,-,-,-,-,-
367156441,"YR-11226850,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,2,₦ 39000.00,-,-,-,-,-,-,-,-,-
367156441,"YR-11226850,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,1,₦ 6600.00,-,-,-,-,-,-,-,-,-
367156441,"YR-11226850,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Completed,-,0,-,6.4561933,3.4455356,,-,Order_Details,1,₦ 6600.00,-,₦ 0.00,₦ 0.00,₦ 0.00,65400,CASH,-,-,-
367150932,"YR-11226681,0",3.67E+29,Default Team,Delivery,,1233213,0,0.4,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367150932,"YR-11226681,0",3.67E+29,Default Team,Delivery,,1233213,0,0.4,Completed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,62875,CASH,-,-,-
367150049,"YR-11226648,0",3.67E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5363476,3.3733248,,-,Order_Details,10,₦ 208500.00,-,-,-,-,-,-,-,-,-
367150049,"YR-11226648,0",3.67E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5363476,3.3733248,,-,Order_Details,1,₦ 21500.00,-,₦ 0.00,₦ 0.00,₦ 0.00,230000,CASH,-,-,-
367145127,"YR-11226455,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.6315101,3.3884346,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
367145127,"YR-11226455,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.6315101,3.3884346,,-,Order_Details,3,₦ 975.00,-,₦ 0.00,₦ 0.00,₦ 0.00,21925,CASH,-,-,-
367143251,"YR-11226393,0",3.67E+29,Default Team,Delivery,,1233213,0,0.43,Completed,-,0,-,6.519477,3.371927,,-,Order_Details,3,₦ 62550.00,-,-,-,-,-,-,-,-,-
367143251,"YR-11226393,0",3.67E+29,Default Team,Delivery,,1233213,0,0.43,Completed,-,0,-,6.519477,3.371927,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,63650,CASH,-,-,-
367124630,"YR-11225801,0",3.67E+29,Default Team,Delivery,,1274881,-,69.72,Completed,-,0,-,6.4926317,3.3489671,,-,Order_Details,10,₦ 208500.00,-,-,-,-,-,-,-,-,-
367124630,"YR-11225801,0",3.67E+29,Default Team,Delivery,,1274881,-,69.72,Completed,-,0,-,6.4926317,3.3489671,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,208825,CASH,-,-,-
367114987,"YR-11225588,0",3.67E+29,Default Team,Delivery,,1166840,5977,107.62,Completed,-,0,-,6.5264439,3.3964459,,-,Order_Details,10,₦ 208500.00,-,-,-,-,-,-,-,-,-
367114987,"YR-11225588,0",3.67E+29,Default Team,Delivery,,1166840,5977,107.62,Completed,-,0,-,6.5264439,3.3964459,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,208825,CASH,-,-,-
367080945,"YR-11225081,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.5502553,3.4006058,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
367080945,"YR-11225081,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.5502553,3.4006058,,-,Order_Details,1,₦ 1100.00,-,₦ 0.00,₦ 0.00,₦ 0.00,22050,CASH,-,-,-
366983920,"YR-11222519,0",3.67E+29,Default Team,Delivery,,1211296,11388,53.3,Completed,-,0,-,6.5557996,3.392317,,-,Order_Details,5,₦ 104250.00,-,-,-,-,-,-,-,-,-
366983920,"YR-11222519,0",3.67E+29,Default Team,Delivery,,1211296,11388,53.3,Completed,-,0,-,6.5557996,3.392317,,-,Order_Details,1,₦ 1100.00,-,-,-,-,-,-,-,-,-
366983920,"YR-11222519,0",3.67E+29,Default Team,Delivery,,1211296,11388,53.3,Completed,-,0,-,6.5557996,3.392317,,-,Order_Details,1,₦ 2750.00,-,₦ 0.00,₦ 0.00,₦ 0.00,108100,CASH,-,-,-
366970179,"YR-11220834,0",3.67E+29,Default Team,Delivery,,1133722,-,0,Failed,-,0,-,6.534224,3.3454443,,-,Order_Details,20,₦ 419000.00,-,-,-,-,-,-,-,-,-
366970179,"YR-11220834,0",3.67E+29,Default Team,Delivery,,1133722,-,0,Failed,-,0,-,6.534224,3.3454443,,-,Order_Details,2,₦ 44200.00,-,₦ 0.00,₦ 0.00,₦ 2000.00,461200,CASH,-,-,-
366958942,"YR-11219791,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Failed,-,0,-,6.5264439,3.3964459,,-,Order_Details,10,₦ 208500.00,-,-,-,-,-,-,-,-,-
366958942,"YR-11219791,0",3.67E+29,Default Team,Delivery,,1166840,-,0,Failed,-,0,-,6.5264439,3.3964459,,-,Order_Details,2,₦ 45400.00,-,₦ 0.00,₦ 0.00,₦ 1000.00,252900,CASH,-,-,-
366955266,"YR-11219351,0",3.67E+29,Default Team,Delivery,,1274881,-,0.92,Completed,-,0,-,6.5260021,3.3474892,,-,Order_Details,1,₦ 22700.00,-,-,-,-,-,-,-,-,-
366955266,"YR-11219351,0",3.67E+29,Default Team,Delivery,,1274881,-,0.92,Completed,-,0,-,6.5260021,3.3474892,,-,Order_Details,8,₦ 166800.00,-,₦ 0.00,₦ 0.00,₦ 200.00,189300,CASH,-,-,-
366944946,"YR-11218224,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.5143479,3.3595276,,-,Order_Details,2,₦ 41700.00,-,-,-,-,-,-,-,-,-
366944946,"YR-11218224,0",3.67E+29,Default Team,Delivery,,-,-,-,Unassigned,-,0,-,6.5143479,3.3595276,,-,Order_Details,2,₦ 9900.00,-,₦ 0.00,₦ 0.00,₦ 900.00,50700,CASH,-,-,-
366939569,"YR-11217611,0",3.67E+29,Default Team,Delivery,,1211296,1184,26.1,Completed,-,0,-,6.5483315,3.3720702,,-,Order_Details,1,₦ 22100.00,-,-,-,-,-,-,-,-,-
366939569,"YR-11217611,0",3.67E+29,Default Team,Delivery,,1211296,1184,26.1,Completed,-,0,-,6.5483315,3.3720702,,-,Order_Details,4,₦ 83400.00,-,₦ 0.00,₦ 0.00,₦ 0.00,105500,CASH,-,-,-
366934482,"YR-11217100,0",3.67E+29,Default Team,Delivery,,1132867,-,0,Failed,-,0,-,6.551107,3.399513,,-,Order_Details,10,₦ 208500.00,-,-,-,-,-,-,-,-,-
366934482,"YR-11217100,0",3.67E+29,Default Team,Delivery,,1132867,-,0,Failed,-,0,-,6.551107,3.399513,,-,Order_Details,1,₦ 22700.00,-,₦ 0.00,₦ 0.00,₦ 200.00,231000,CASH,-,-,-
366933475,"YR-11216991,0",3.67E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5260021,3.3474892,,-,Order_Details,1,₦ 22700.00,-,-,-,-,-,-,-,-,-
366933475,"YR-11216991,0",3.67E+29,Default Team,Delivery,,-,-,0,Failed,-,0,-,6.5260021,3.3474892,,-,Order_Details,5,₦ 104250.00,-,₦ 0.00,₦ 0.00,₦ 200.00,126750,CASH,-,-,-
366913030,"YR-11215214,0",3.67E+29,Default Team,Delivery,,1233213,168,1.7,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,2,₦ 41900.00,-,₦ 0.00,₦ 0.00,₦ 0.00,41900,CASH,-,-,-
366794448,"YR-11209563,0",3.67E+29,Default Team,Delivery,,1233213,10,0.95,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
366794448,"YR-11209563,0",3.67E+29,Default Team,Delivery,,1233213,10,0.95,Completed,-,0,-,6.5362535,3.3775198,,-,Order_Details,1,₦ 325.00,-,₦ 0.00,₦ 0.00,₦ 0.00,21275,CASH,-,-,-
366792205,"YR-11209494,0",3.67E+29,Default Team,Delivery,,1233213,5319,31.15,Completed,-,0,-,6.5373771,3.3965285,,-,Order_Details,1,₦ 20950.00,-,-,-,-,-,-,-,-,-
